350
23 125
24 15 264958
12 21 386330
24 9 222242
26 19 255915
25 16 462731
15 20 454850
11 12 94438
2 27 256513
26 22 145782
2 3 239961
10 9 243441
9 19 11513
9 15 318315
17 9 211238
16 7 349826
21 18 267870
23 9 302506
6 22 399020
9 25 97660
5 20 180706
8 1 195486
13 7 297429
8 21 243718
22 13 370830
2 15 348656
14 10 203299
5 17 23727
3 6 545324
15 12 291135
26 20 200082
2 9 227361
12 17 323772
17 10 248542
16 18 326509
8 27 162924
1 16 240020
17 21 179474
17 8 111698
16 22 402671
7 18 167707
6 4 460910
11 24 170876
2 21 204714
24 8 122702
14 1 353325
12 16 563947
11 22 370305
3 27 329078
18 2 244270
24 3 156263
33 106
6 2 225723
4 16 202700
5 7 518544
20 6 132138
13 4 376730
28 10 234265
14 8 374329
27 1 255336
33 13 376342
14 33 320464
14 19 352538
16 28 85034
20 21 267656
17 1 283049
11 14 329931
30 13 395564
13 6 424025
5 20 314450
3 28 324386
26 28 396224
18 31 298514
32 26 82733
2 7 372436
18 28 303662
21 11 339160
21 2 219769
6 33 155451
29 30 258986
1 9 167479
25 23 412018
23 1 357899
21 6 228387
4 24 215471
30 27 261159
1 13 362883
33 28 234559
18 10 246601
10 17 107501
18 22 377920
17 3 197622
24 25 93450
3 10 300033
16 8 292407
6 28 387591
26 20 154546
7 15 241652
6 3 351633
30 33 252888
25 17 143519
6 9 39461
27 23 386320
5 32 320797
4 17 160970
9 2 186262
29 3 366271
19 32 334338
33 9 194912
19 1 362704
27 13 386368
19 23 198348
17 9 221366
20 12 15989
2 33 292705
28 25 270283
32 10 252078
33 17 107795
14 15 373245
18 3 357993
19 22 247192
26 6 200334
29 26 87113
22 27 225144
1 8 100115
32 8 255159
23 18 320366
19 21 105010
1 15 33438
1 5 310330
21 13 308342
26 19 396621
7 30 346170
6 19 333397
19 2 114759
5 26 238064
28 14 409151
23 15 324461
31 4 232813
9 12 147988
7 23 336746
5 33 111881
15 26 105754
6 29 287447
24 23 323000
18 5 50921
11 17 348667
13 24 327984
31 33 206255
3 12 362442
16 24 96231
27 6 145425
28 11 444799
29 23 140354
1 16 324779
12 1 66241
30 23 390580
13 3 502849
26 151
11 12 206732
18 11 295140
14 4 352996
13 7 255682
12 23 179481
16 20 126748
25 18 289127
9 14 231727
10 7 234826
18 5 187102
25 1 123471
22 7 187657
25 9 142682
18 20 263812
18 24 349782
6 13 117794
13 3 155019
16 23 226114
25 20 326930
15 13 94638
22 11 267662
7 5 272678
20 15 170792
1 26 149410
9 1 223327
5 4 236069
25 26 68765
17 5 229328
14 25 374409
25 8 310975
3 21 242297
15 7 161044
12 26 43071
4 16 228733
13 23 197379
22 17 284680
22 16 49772
5 6 222409
10 14 312591
8 4 332388
19 23 308080
11 3 141420
7 26 243666
12 17 256408
18 14 304029
15 9 264564
22 15 302854
9 23 242250
21 12 311818
18 8 141382
11 2 235695
8 19 311657
26 15 190647
4 1 102058
22 18 88753
2 7 315700
6 24 158837
4 25 21413
11 7 80005
17 13 164116
16 8 279907
4 19 187121
14 7 167161
20 7 248220
14 1 318334
12 5 231788
8 11 393404
25 24 300389
21 8 396603
5 22 98349
7 18 276410
10 21 255698
8 23 416411
26 3 130266
26 23 168311
2 15 154656
25 12 84822
10 19 117608
1 6 102681
16 6 273064
5 16 148121
2 26 345303
2 10 228438
5 10 312714
15 21 181916
23 1 223017
16 24 366173
26 16 276085
12 22 269384
26 6 213803
9 2 370492
16 13 390858
23 21 344140
15 19 43826
25 16 250146
24 3 196062
6 2 177812
11 25 232426
25 7 312431
15 11 81039
4 24 278976
15 17 69478
9 12 116988
18 6 190945
22 8 230135
4 6 166451
5 21 427481
1 22 281019
8 12 395797
10 11 154821
6 12 210086
13 21 146761
9 20 191510
23 18 275029
19 11 124865
21 17 251394
26 10 143667
7 19 204870
11 20 168215
1 17 149003
1 10 32545
4 9 121269
24 11 216720
17 24 205159
23 6 287410
25 10 117728
24 1 215206
16 18 138525
2 16 403813
25 19 208534
19 18 170275
18 1 293626
8 7 417792
1 15 79525
13 4 237933
24 20 239425
20 23 208516
17 14 220635
9 6 287720
11 5 192673
10 24 209463
9 21 428806
6 15 23156
14 12 348715
2 8 483598
9 3 204183
15 10 73782
1 5 280169
9 7 262919
17 11 150517
16 9 262921
22 217
19 10 80792
14 19 158366
10 6 82866
2 6 73206
13 15 87720
3 19 148477
16 13 143715
11 13 49906
13 10 61114
9 5 45635
11 8 172069
17 8 172240
10 21 126131
15 18 109634
2 21 195724
15 5 85570
15 7 155543
9 15 39935
8 9 166949
5 6 141830
6 3 109710
3 4 371693
3 8 219081
19 4 400052
8 20 107824
4 13 332900
20 3 184831
5 13 2150
6 16 165467
17 21 59649
16 19 163393
7 19 243961
2 8 187183
17 2 136075
21 12 153991
15 12 107560
5 2 130349
16 12 233062
17 11 35902
21 4 368627
20 12 189956
5 12 91497
8 21 195816
5 8 121314
2 4 282795
19 2 236864
14 6 146035
19 17 101636
3 17 46841
2 15 149293
3 22 160603
18 11 142880
19 11 137538
14 4 343760
10 18 162898
7 17 142325
14 2 98109
10 11 102384
7 8 226842
1 7 120648
13 9 47785
22 2 123923
8 13 123464
16 22 262845
14 8 89074
5 3 133498
17 20 187814
8 15 159022
5 14 32240
22 6 176631
6 1 205828
10 9 13329
1 14 195268
3 12 47501
18 8 230834
10 5 58964
22 13 127766
16 18 245499
22 9 166915
19 12 195978
13 2 132499
5 17 86657
18 4 202000
18 22 220740
5 22 128615
17 14 83166
7 2 152486
21 9 112802
14 3 130007
4 10 360953
5 7 157178
8 1 106194
9 19 94121
20 6 204198
3 1 186461
1 5 181926
12 1 191586
17 10 66482
15 6 76087
22 21 101607
7 9 176225
16 1 205563
13 1 184076
5 18 133050
22 14 160855
9 16 95930
21 20 192062
1 11 169945
20 5 180315
16 7 272133
21 5 74502
4 6 356001
8 19 247440
10 2 156072
4 20 343338
7 6 205194
7 3 189166
9 1 136291
13 7 156329
20 14 196898
4 11 344880
11 14 82995
19 1 203754
3 21 106490
11 21 23747
9 3 99994
16 3 195924
1 17 189444
11 12 130244
9 4 347624
8 22 198279
9 14 77875
8 6 235109
5 11 50755
20 22 90455
15 20 174596
6 19 163658
10 16 82601
15 14 69948
19 13 141906
12 7 236667
4 7 435281
9 6 96195
15 21 72867
9 20 134661
12 17 94342
14 7 189418
4 12 371986
13 21 73653
15 10 53264
16 17 149083
9 12 137132
4 1 344968
15 19 88418
22 15 126980
17 13 85808
2 11 171977
20 2 214378
4 22 406718
11 16 184985
10 3 113323
22 10 180244
21 16 208732
18 13 130900
20 11 168315
6 12 157211
19 22 215398
15 16 135865
12 8 212811
13 6 143980
2 16 211866
9 2 169401
3 11 82743
7 11 106423
9 11 89055
10 20 121332
2 18 239869
11 15 49120
7 18 249303
1 18 178284
12 18 217205
10 14 91204
14 12 123737
12 13 93647
22 17 113762
18 14 141760
8 4 432834
12 2 89191
1 22 92085
3 18 169693
16 14 113757
21 7 130170
10 8 180278
21 18 166627
15 17 13218
16 4 443554
3 15 60059
4 17 324852
18 17 122852
3 2 136692
14 21 106742
15 1 176226
4 5 335050
22 12 208104
16 5 141565
20 19 202124
20 7 119018
8 16 202831
13 20 182446
21 1 193692
17 6 62869
11 6 98771
11 22 77860
18 6 185721
19 5 139756
18 20 176654
18 19 198052
23 94
5 3 676601
18 23 451206
17 8 522284
6 14 392297
5 19 563694
16 2 502850
21 18 356180
23 6 110850
3 2 362205
1 9 291205
2 13 377541
19 22 298412
6 5 478589
23 19 361005
18 10 227150
17 1 479397
9 3 383558
21 22 200649
21 6 240690
6 15 157585
11 20 313522
10 22 368651
11 21 276050
18 3 431997
19 9 264154
6 19 250155
13 23 403528
7 16 518559
4 9 502833
4 12 432083
10 3 293605
3 20 355490
4 19 466939
6 11 453701
7 20 208461
5 4 783983
6 4 564775
16 23 423941
15 5 471124
16 5 165498
15 13 264562
22 15 337601
20 10 246158
10 2 157358
22 8 238368
5 14 556069
14 17 371371
20 12 226672
9 18 493488
9 16 466223
17 19 582328
21 19 265979
2 15 112979
12 8 301865
9 10 266338
4 23 617289
10 23 224056
22 9 241802
12 11 371718
22 20 278805
10 16 426297
2 19 205549
22 13 73039
2 12 137872
7 23 260145
4 15 407190
17 7 354260
8 9 238656
3 4 548865
4 18 589961
14 19 315659
15 7 303714
2 4 468388
8 15 276972
14 7 315206
13 20 351844
16 8 652262
4 7 477453
18 5 372598
7 5 605189
2 6 198389
9 15 310717
3 14 260640
23 21 129840
7 9 312146
5 10 496223
11 3 270694
8 3 380124
1 23 410555
11 13 256497
21 14 214646
6 9 153132
9 20 315666
6 10 113206
48 352
24 35 196988
5 39 120655
26 47 335844
4 14 205253
40 43 206638
24 10 217403
33 3 74280
32 34 224267
21 10 182309
48 38 187924
39 46 200852
9 34 169911
29 22 63331
4 26 154004
46 21 239905
24 13 154026
2 38 144926
31 5 208364
22 31 178448
5 3 169502
5 48 174548
24 36 251693
31 19 163279
24 48 112169
5 43 265457
8 7 57585
10 7 159719
27 4 25122
19 45 108349
23 44 371144
40 33 133886
37 29 87357
16 45 89017
14 33 57254
24 8 75609
31 26 258045
44 34 328431
21 37 256007
44 3 196174
17 9 45566
24 33 62033
21 39 179403
4 8 37843
21 41 210881
4 17 76373
39 4 52358
32 13 196477
34 8 191165
17 25 136229
34 28 192862
18 10 63531
2 20 115583
47 16 293227
32 45 135657
40 20 31286
12 29 57719
15 11 156620
40 5 175361
37 2 156189
41 16 237634
32 17 126893
20 3 218946
24 43 249293
1 29 91770
37 10 232913
43 22 279605
18 36 7004
14 1 265524
13 42 180444
23 11 264707
20 37 208656
7 43 238163
24 26 231430
28 22 19266
46 28 203635
40 19 216401
32 14 161738
32 30 104536
2 9 43816
20 25 219763
10 35 133033
3 2 128432
20 33 165172
1 18 264784
44 48 257539
14 24 119287
4 20 159907
37 45 119077
29 30 75196
28 48 125366
27 39 41454
26 40 126001
5 21 196904
2 7 82995
6 41 118687
13 37 225796
41 3 196472
2 34 126095
26 38 235677
46 44 102437
19 46 272300
14 29 210832
26 29 159583
31 7 159809
32 21 204012
26 10 167220
41 13 127452
42 16 188732
27 1 86398
15 12 34127
22 42 104117
47 23 200053
9 39 47139
25 6 136755
28 14 168865
17 46 108147
32 6 111818
7 18 223250
22 33 206853
48 33 174202
34 24 151034
16 33 292343
27 33 164581
15 6 58886
37 15 110949
11 31 220071
10 23 285839
15 32 68533
2 11 175673
44 47 278197
3 14 131534
17 35 145691
19 43 277967
2 24 140679
21 6 92194
19 29 129385
20 17 200254
9 18 184071
18 38 285181
44 6 229662
38 33 140902
48 42 43535
19 8 125623
24 29 119031
3 10 205156
22 24 151833
7 11 194375
43 37 135143
48 29 111830
29 28 60720
39 32 102878
31 32 181422
25 13 204737
8 33 137642
21 40 162845
15 23 196135
44 13 213887
29 36 202083
31 36 174817
46 37 277456
4 30 69617
31 15 122054
17 23 254495
1 35 180838
47 20 268372
36 44 227772
45 6 126010
14 22 149599
38 25 177555
41 26 195792
8 15 19830
11 35 231982
46 14 76711
34 36 100659
31 28 159182
8 42 27893
13 7 190256
1 31 215561
31 23 318189
8 27 26939
24 21 240497
6 28 80413
10 39 156309
41 12 147407
43 26 161018
46 47 237165
19 7 143548
23 46 292045
39 37 145294
11 6 162027
28 44 212137
15 40 110608
11 29 163557
21 16 286067
15 1 93507
3 9 95986
3 45 150316
23 4 214148
23 14 215334
25 9 90663
37 47 263618
21 31 190423
8 38 119516
6 10 90115
13 19 258294
41 22 56886
35 31 223603
16 43 105083
26 16 144001
25 22 134263
35 22 155070
30 22 92397
36 20 248579
22 17 114754
35 8 121379
24 46 81490
1 43 306971
27 18 178386
26 28 157518
20 39 176239
46 10 247473
7 28 74883
42 4 65736
32 27 75642
10 44 171245
23 40 222488
4 45 49111
20 5 148959
15 34 171335
15 24 95439
18 30 146619
37 41 207574
47 17 258213
21 2 105840
12 20 176021
28 9 49922
31 18 181821
25 14 239476
2 48 133478
30 12 71513
22 15 56394
15 44 175009
2 10 76724
27 6 51777
40 9 123402
42 46 150124
5 34 217159
39 22 90739
37 19 216742
1 44 268516
40 41 169345
8 37 130779
30 5 97428
29 34 194927
14 6 147283
3 35 184741
38 17 158046
30 47 251457
24 6 154325
20 48 230132
2 15 45240
45 20 209018
2 44 220249
19 48 125341
8 2 65070
2 45 112364
48 32 156771
39 45 101469
32 41 69025
41 28 76152
43 4 243211
43 13 164745
26 5 181815
39 47 234198
21 23 341193
23 28 233263
11 9 169414
13 46 111450
34 11 274476
39 13 186846
14 10 235724
38 30 151290
4 29 41605
5 10 180516
30 2 6364
29 47 176261
20 28 179022
20 31 263948
26 30 84387
26 14 202633
13 6 112544
28 1 130635
12 4 52140
30 36 139615
12 31 156181
47 40 237086
11 12 190747
8 18 205325
27 9 5685
11 45 223744
13 23 180595
8 5 106140
5 47 286163
32 25 146402
15 19 105793
9 24 108233
31 27 129163
7 15 37755
28 37 148077
34 19 277128
41 48 201518
6 36 146642
8 40 130438
39 11 190965
26 45 203115
6 7 96641
40 7 148363
32 11 112365
12 44 185949
15 4 18013
21 35 162149
20 11 157291
11 17 214980
36 7 216246
42 7 85478
1 30 130893
48 22 144632
19 42 153516
30 24 147043
29 10 145556
19 16 197366
45 15 67124
16 13 255856
24 3 12247
19 35 207342
41 8 133110
13 27 159610
44 30 226613
19 41 219073
45 48 149654
17 48 132234
34 3 138787
40 24 195919
7 32 106288
10 38 221650
35 38 201235
22 9 69188
31 3 205246
33 35 149427
37 18 191338
1 23 289642
7 38 137441
46 1000
19 2 52253
18 26 109155
45 27 49231
10 5 59204
43 6 120940
24 14 16930
45 2 45504
23 10 39142
20 29 73170
12 7 76575
7 32 53925
29 34 84979
34 36 33834
22 46 74100
20 9 66477
9 46 56476
24 33 51226
19 17 77828
19 1 51026
42 28 133330
45 10 65052
17 13 139076
5 43 75084
39 38 18638
21 7 85431
28 18 203296
45 9 70127
25 32 121581
11 4 88051
15 5 61816
5 26 46875
10 9 57442
27 9 101261
41 28 142206
1 34 52436
6 14 83028
15 19 74413
45 40 83050
4 14 81608
30 21 125914
45 6 83407
17 27 75085
14 20 21660
11 31 39237
1 38 24105
34 41 38492
44 12 107880
3 37 79774
3 4 155068
40 4 139348
22 38 67579
45 5 34726
29 30 111433
17 33 80065
42 37 52560
15 42 119014
23 33 69928
16 28 174434
38 25 102458
3 41 68437
40 28 204969
27 5 51577
37 4 112251
29 46 62439
14 34 33469
41 6 88051
6 23 86743
27 12 90574
20 31 23266
7 14 18116
18 2 61548
22 24 79371
10 30 101737
2 7 2078
28 39 163691
18 24 98672
46 10 51401
20 40 42621
44 45 34157
2 20 41854
24 29 67710
7 44 62444
45 7 43426
4 35 116450
34 42 55386
17 20 67429
4 42 129390
35 41 75448
8 1 41592
19 6 90758
1 21 101421
37 26 47780
39 23 59408
9 8 67442
32 19 104100
36 31 1241
29 2 51860
17 31 47375
15 34 90418
30 8 45696
24 44 66351
28 2 167423
22 10 65951
29 19 82839
11 12 96090
26 36 27778
33 21 116750
7 27 51588
8 41 17602
2 36 20559
27 13 159095
35 2 55036
1 42 66749
16 20 74540
15 37 87592
29 14 51510
43 45 91985
18 11 88185
18 31 83348
13 46 114310
30 39 78457
28 44 163803
16 43 88924
40 14 57740
36 41 4658
22 26 89854
15 43 136900
43 32 144111
17 18 35973
15 25 106231
2 43 92264
12 22 120900
10 20 51948
11 20 49015
43 23 76826
44 15 83644
33 2 54490
4 16 98256
15 13 183929
1 41 23990
20 44 81127
26 14 27413
42 11 77716
39 27 69944
13 23 128939
6 16 38619
46 33 45955
25 7 79204
12 40 116199
29 3 98540
31 41 5899
20 37 42027
21 16 101932
18 23 76986
40 11 91636
30 32 92079
45 41 20287
43 9 123757
37 39 44143
32 16 84533
3 40 131200
16 22 9561
5 33 53758
30 19 55130
21 41 77431
35 6 126341
13 24 119581
13 45 127961
46 2 31853
6 38 77890
41 29 55803
44 39 83243
8 45 37889
46 25 108979
6 10 95009
20 43 100600
29 38 56648
4 21 74980
38 19 37197
14 11 37631
16 40 110620
38 11 32493
22 13 151574
37 28 126612
38 23 40770
43 30 117617
17 37 76412
38 40 59143
46 38 16797
3 28 73769
30 13 164646
45 18 73650
13 11 135982
24 9 61747
12 10 98201
39 12 74921
35 11 34265
7 37 48759
10 27 73214
42 30 99731
32 42 119823
39 6 96528
5 17 65231
32 37 102684
1 12 77426
5 30 42533
16 34 86349
40 36 58105
1 43 97907
7 18 63626
4 8 104233
20 42 69442
30 24 68879
23 37 59873
41 40 62763
31 16 54486
26 17 73182
10 8 62367
29 15 92150
36 27 56809
22 45 54349
43 33 113236
11 10 2933
24 2 37124
15 8 64979
8 37 22613
26 15 108691
46 19 20400
31 21 83330
2 4 65570
13 4 47931
7 34 51585
42 35 111981
17 9 90586
15 33 115574
29 4 106473
25 44 123385
46 35 82084
7 16 34764
45 23 60942
25 37 127963
18 10 85252
5 19 12597
19 35 83253
9 38 49955
1 4 100575
23 41 40655
17 4 91145
42 8 60361
34 5 28602
42 31 48658
20 33 12636
4 33 115904
4 46 93267
42 19 69795
35 12 109653
6 25 83059
1 15 100245
5 21 91870
46 30 50336
10 19 71801
29 18 113408
39 10 54064
13 44 145898
5 32 91503
39 33 47796
39 4 105384
30 28 170300
33 41 39319
6 8 74998
9 39 68593
15 39 97740
12 33 92755
25 12 155779
2 17 25575
12 6 117158
14 27 56444
37 29 82153
6 15 59826
39 46 35435
10 35 31332
20 27 67828
10 43 115968
20 4 103268
9 40 102557
19 44 81480
31 1 20573
23 3 96697
20 8 44285
11 32 78484
17 30 107307
27 32 101357
42 27 26759
14 2 20194
15 3 115814
43 12 114081
9 30 106812
20 22 84101
26 38 22275
15 20 102938
16 5 72342
25 21 143744
39 24 40706
8 31 23501
46 32 83700
27 3 86320
38 16 58018
7 24 35046
19 14 32059
15 18 90653
5 41 14439
31 14 1606
28 22 183995
34 46 36405
27 31 58050
7 1 37083
18 5 101204
27 23 34072
44 32 112213
42 5 57198
31 39 25382
11 39 51131
44 17 71834
43 46 67281
12 42 96195
19 39 48521
41 25 102343
15 12 100813
16 2 32686
6 5 78161
13 34 136120
22 15 71352
22 19 94500
33 10 64584
9 16 97697
24 38 22068
23 44 75804
39 45 49086
10 17 49279
3 35 85739
22 8 85066
36 5 19097
36 24 16565
8 33 56921
43 14 78940
8 40 80365
19 7 50175
38 28 152117
7 9 62933
34 44 92936
21 36 82089
32 33 106337
6 27 78186
34 38 28331
29 7 53938
43 41 73917
44 5 68883
5 13 122113
37 9 75460
36 11 37996
15 28 189583
40 13 160391
28 13 249880
4 38 86746
2 11 26637
23 30 90402
41 16 57903
45 34 58779
21 38 87592
3 33 107756
6 37 52385
14 36 365
42 45 22472
15 11 118909
31 33 35902
43 37 68555
42 41 42759
32 13 165348
18 22 19301
39 8 32761
6 4 136875
9 15 126095
16 11 59323
33 27 80464
14 37 30643
15 45 96542
30 25 125514
8 26 50038
32 21 135200
40 23 93372
11 7 24559
8 3 57161
28 46 135570
37 12 64773
31 28 148105
30 31 62871
39 14 23776
26 40 81418
18 20 103402
28 45 129646
21 40 140194
14 41 5023
35 17 80611
34 17 79238
2 26 47607
5 39 35924
9 1 25850
19 18 113801
29 9 96327
46 11 49290
45 46 26923
31 10 41348
33 11 61651
12 34 67599
4 43 157834
4 18 122944
8 35 93050
32 15 77523
15 41 76255
9 13 147468
7 6 73383
11 22 68884
10 41 44765
33 26 51433
7 13 111423
36 15 80913
14 5 19462
29 26 78923
6 44 117564
8 34 25439
18 41 86765
21 28 186790
20 19 53719
9 4 126425
3 34 82600
39 18 105518
5 31 20338
15 30 19283
37 33 54663
32 35 106883
22 29 94107
4 34 115077
42 10 80649
38 15 86416
14 33 34296
36 9 45182
40 34 84719
10 40 94569
37 35 90792
7 39 41892
35 31 72031
36 20 22025
25 42 111700
39 41 28799
5 23 55094
35 25 132162
2 44 60366
4 12 140067
39 40 77781
41 46 6636
35 24 87355
27 11 76147
44 14 59467
16 45 44788
4 23 81008
26 12 85872
22 9 107258
22 34 95910
14 23 35632
33 28 181275
43 39 102716
26 4 109021
33 18 116038
38 12 63597
8 36 22260
6 32 123152
8 13 125276
40 2 77934
14 1 18967
5 8 3163
6 30 79109
11 28 184610
46 1 30626
18 27 111058
12 46 46800
31 23 37238
42 6 104945
9 18 126559
28 1 147677
1 5 38429
41 37 35666
46 36 11294
23 24 52562
33 16 87176
29 25 128986
29 13 154161
30 35 132420
35 21 138389
18 36 82107
3 32 145501
8 32 94666
33 42 82078
26 32 99454
26 3 100873
19 21 104467
5 35 89887
10 1 58709
30 44 102927
31 34 35075
17 21 94821
3 22 110226
25 34 130789
26 27 73581
32 28 219270
39 26 40913
14 38 5138
27 8 48414
3 30 96531
27 2 49510
39 20 35160
12 24 65343
37 31 32249
36 10 40107
4 25 68764
5 40 77202
4 7 63492
41 11 42654
32 1 91008
19 36 31694
9 21 121917
12 2 78653
15 21 106631
24 27 73374
3 31 74336
24 40 74670
37 22 93084
17 6 45730
30 22 90635
2 10 23704
20 23 57292
38 5 24600
27 46 59380
23 16 48124
37 36 31008
6 20 94412
30 41 56972
41 7 23139
30 27 94110
42 7 65898
20 41 26683
42 38 52920
30 38 67133
22 42 76821
10 28 186971
45 11 62941
25 14 97320
8 24 29509
21 34 76353
5 12 38997
36 16 53245
17 45 37677
29 23 67298
35 20 81809
5 9 64279
14 28 147229
14 15 81278
46 5 7803
37 45 55953
10 34 63757
46 20 33319
10 4 85118
9 19 76876
3 16 100665
27 43 42754
7 5 37578
21 44 22987
26 46 39072
16 46 64539
42 2 67976
33 35 94445
40 7 75856
6 28 178997
37 24 47573
32 38 77179
37 34 2826
14 13 102651
1 24 35897
8 19 15760
43 42 69513
31 22 64047
24 42 54666
17 1 64736
20 7 39776
2 1 39161
7 35 52958
21 27 99328
14 17 45769
4 45 106918
35 9 88774
26 20 38797
28 7 165345
15 23 109685
29 21 31493
3 6 132159
2 15 101472
35 44 115402
13 20 124311
9 44 98930
20 38 16522
43 24 85824
39 42 71558
45 24 32194
43 25 114242
34 28 129438
30 4 143603
43 11 116571
20 5 41122
14 32 72041
24 16 69810
14 18 81742
6 29 123165
17 42 60149
32 41 77064
16 30 100196
36 35 70790
25 36 97685
4 22 103643
9 42 92599
11 17 52212
2 13 113501
22 40 120181
16 13 146187
26 35 43012
39 3 89922
12 16 111339
42 44 56629
22 32 86702
41 17 50792
20 30 83655
27 16 82196
29 40 109250
37 16 83523
43 36 78575
45 36 24945
40 46 69399
20 1 40627
2 6 71305
12 17 104228
16 17 7111
38 27 51306
3 5 53998
29 10 75564
1 29 70477
24 26 44343
13 6 184806
13 31 104257
24 21 89338
9 25 142137
19 25 129379
30 33 96291
10 32 75551
1 25 116287
31 6 84634
23 21 98791
36 12 58094
31 40 59346
36 32 72406
28 36 146864
46 8 10966
29 11 78497
34 24 50399
15 4 162886
13 35 164381
30 1 80962
41 24 11907
17 8 68394
21 42 79616
12 14 58459
8 12 42160
23 1 54599
45 38 30448
37 38 25505
10 21 107057
28 25 218874
36 39 24141
42 23 60831
9 26 72230
7 23 17516
10 15 121020
37 46 33579
13 33 136947
23 25 92564
3 38 78598
36 17 46134
26 43 106353
44 1 78434
39 16 76656
21 8 95033
18 13 170875
4 41 86631
40 30 119735
9 31 46423
10 16 56390
31 19 32935
18 44 107807
22 5 81903
24 15 88162
22 41 67464
19 11 69690
25 13 116695
8 11 60256
40 25 107960
27 44 83388
11 25 103763
12 32 130500
16 18 28862
9 34 78286
6 1 101995
12 18 140201
35 45 95735
45 31 26186
25 3 145105
13 36 103016
21 46 84067
23 9 80449
33 40 29985
36 44 59102
10 25 100830
38 10 35426
46 42 49395
37 21 73527
32 17 77422
30 34 71135
44 38 64605
39 13 126427
21 18 130794
46 23 47291
34 19 41199
37 18 112385
16 26 80293
28 23 170466
19 41 27036
23 36 35997
3 43 129074
34 35 93618
24 5 26346
1 37 49610
38 33 29158
8 25 119945
40 44 117207
13 21 122911
31 44 60343
28 27 152413
4 32 117417
39 32 95817
35 28 159508
28 17 167323
1 3 92427
22 23 57685
22 43 79363
22 14 62441
14 45 25310
29 39 75286
10 14 39742
3 13 176111
43 13 181591
11 5 57093
15 46 69619
1 13 121618
19 23 67691
43 17 96035
4 36 81973
44 10 84070
36 7 18481
26 25 124733
34 26 50606
45 30 77259
16 15 80913
31 26 29019
8 28 130930
34 18 115211
5 37 25776
1 27 75411
13 10 133049
45 32 97351
31 29 52386
7 38 23254
1 11 56598
46 31 12535
24 28 154113
19 16 84939
17 38 50907
20 32 93701
42 18 96122
33 45 59606
43 7 94342
12 28 166764
32 29 103707
12 3 92995
19 45 47323
36 29 51145
30 36 61630
26 13 130064
12 19 26400
5 25 116782
38 43 84078
26 30 89408
34 39 46969
36 38 5503
35 39 83925
38 41 10161
1 35 89392
21 11 109990
7 31 19722
44 37 90110
12 45 73723
3 21 113021
34 20 44853
26 10 57701
13 37 133294
28 19 140364
2 5 39656
24 11 54561
11 37 57998
43 28 195167
20 24 38590
8 18 104367
27 29 91894
21 45 57144
1 45 44277
26 7 45529
14 30 61995
14 3 73460
7 22 44325
21 2 83353
17 25 51551
4 5 101070
28 26 174392
7 33 52412
41 13 107674
